area,status
an_giang,done
bac_giang,done
bac_kan,done
bac_lieu,done
bac_ninh,done
ben_tre,done
binh_dinh,done
binh_duong,done
binh_phuoc,done
binh_thuan,done
ca_mau,done
can_tho,done
cao_bang,done
dak_lak,done
dak_nong,done
da_nang,done
dien_bien,done
dong_nai,done
dong_thap,done
gia_lai,done
ha_giang,done
hai_duong,done
hai_phong,done
ha_nam,done
ha_noi,done
ha_tinh,done
hau_giang,done
hcm,done
hoa_binh,done
hue,done
hung_yen,done
khanh_hoa,done
kien_giang,done
kon_tum,done
lai_chau,done
lam_dong,done
lang_son,done
lao_cai,done
long_an,done
nam_dinh,done
nghe_an,done
ninh_binh,done
ninh_thuan,done
phu_tho,done
phu_yen,done
quang_binh,done
quang_nam,done
quang_ngai,done
quang_ninh,done
quang_tri,done
soc_trang,done
son_la,done
tay_ninh,done
thai_binh,done
thai_nguyen,done
thanh_hoa,done
tien_giang,done
tra_vinh,done
tuyen_quang,done
vinh_long,done
vinh_phuc,done
vung_tau,done
yen_bai,done
