input_id,link,title,category,address,open_hours,popular_times,website,phone,plus_code,review_count,review_rating,reviews_per_rating,latitude,longitude,cid,status,descriptions,reviews_link,thumbnail,timezone,price_range,data_id,images,reservations,order_online,menu,owner,complete_address,about,user_reviews,emails
68a76f1a-b0bc-40b4-a619-2f9302b00140,https://www.google.com/maps/place/B%E1%BB%87nh+vi%E1%BB%87n+Da+Li%E1%BB%85u+Trung+%C6%AF%C6%A1ng/data=!4m7!3m6!1s0x3135ad0c51c0619b:0xcb922ff21ced459d!8m2!3d21.0038019!4d105.8386591!16s%2Fg%2F11h24f58sf!19sChIJm2HAUQytNTERnUXtHPIvkss?authuser=0&hl=en&rclk=1,Bệnh viện Da Liễu Trung Ương,Hospital,"15A Phương Mai, Đống Đa, Hà Nội 100000","{""Friday"":[""6 AM–4:30 PM""],""Monday"":[""6 AM–4:30 PM""],""Saturday"":[""7:30 AM–5:30 PM""],""Sunday"":[""7:30 AM–5:30 PM""],""Thursday"":[""6 AM–4:30 PM""],""Tuesday"":[""6 AM–4:30 PM""],""Wednesday"":[""6 AM–4:30 PM""]}",{},https://dalieu.vn/,1900 6951,"2R3Q+GF Đống Đa, Hanoi",582,3.000000,"{""1"":245,""2"":24,""3"":27,""4"":37,""5"":249}",21.003802,105.838659,14668839653213029789,Closes soon ⋅ 4:30 PM ⋅ Opens 6 AM Thu,,https://search.google.com/local/reviews?placeid=ChIJm2HAUQytNTERnUXtHPIvkss&q=B%E1%BB%87nh+vi%E1%BB%87n+Da+Li%E1%BB%85u+Trung+%C6%AF%C6%A1ng&authuser=0&hl=en&gl=VN,https://lh5.googleusercontent.com/p/AF1QipMvAFSHfFTPRqZv4czBzK6DBuVoqaH63eUNnJxc=w408-h725-k-no,Asia/Saigon,,0x3135ad0c51c0619b:0xcb922ff21ced459d,"[{""title"":""All"",""image"":""https://lh5.googleusercontent.com/p/AF1QipMvAFSHfFTPRqZv4czBzK6DBuVoqaH63eUNnJxc=w224-h398-k-no""},{""title"":""Latest"",""image"":""https://lh5.googleusercontent.com/p/AF1QipMaov-OMCjtExc0Af-Zjb2w26PBjKHn2FydUpSw=w224-h298-k-no""},{""title"":""Videos"",""image"":""https://lh5.googleusercontent.com/p/AF1QipPMUN57GhjPLWddgdQFopStp1Gq7TAbobhBNlzW=w529-h298-k-no""},{""title"":""Hospital"",""image"":""https://lh5.googleusercontent.com/p/AF1QipMKotSTOlzU42QfgqG_uDuNCh6hdEi8JBBFAhfZ=w233-h298-k-no""},{""title"":""By owner"",""image"":""https://lh5.googleusercontent.com/p/AF1QipMq1Y3V8xrlCpA-hxpJKm5KelTrq-SnhdIZCq86=w530-h298-k-no""}]",null,null,"{""link"":"""",""source"":""""}","{""id"":""106625200343389369384"",""name"":""Bệnh viện Da Liễu Trung Ương (Owner)"",""link"":""https://www.google.com/maps/contrib/106625200343389369384""}","{""borough"":""Phương Mai, Đống Đa"",""street"":""15A Phương Mai"",""city"":""Hanoi"",""postal_code"":""100000"",""state"":""Đống Đa, Hanoi"",""country"":""VN""}","[{""id"":""accessibility"",""name"":""Accessibility"",""options"":[{""name"":""Wheelchair-accessible car park"",""enabled"":true},{""name"":""Wheelchair-accessible entrance"",""enabled"":true}]}]",null,
68a76f1a-b0bc-40b4-a619-2f9302b00140,https://www.google.com/maps/place/Thien+Duc+Hospital/data=!4m7!3m6!1s0x3135acd4e9044211:0xd5e8d37c7aa33582!8m2!3d20.9686774!4d105.7867796!16s%2Fg%2F11h1ssyw9!19sChIJEUIE6dSsNTERgjWjenzT6NU?authuser=0&hl=en&rclk=1,Thien Duc Hospital,General hospital,"207 Đ. Phùng Hưng, P. Phúc La, Hà Đông, Hà Nội","{""Friday"":[""Open 24 hours""],""Monday"":[""Open 24 hours""],""Saturday"":[""Open 24 hours""],""Sunday"":[""Open 24 hours""],""Thursday"":[""Open 24 hours""],""Tuesday"":[""Open 24 hours""],""Wednesday"":[""Open 24 hours""]}",{},http://www.benhvienthienduc.vn/,024 2214 7777,"XQ9P+FP Hà Đông, Hanoi",231,2.600000,"{""1"":122,""2"":5,""3"":11,""4"":19,""5"":74}",20.968677,105.786780,15413802256262444418,Open 24 hours,,https://search.google.com/local/reviews?placeid=ChIJEUIE6dSsNTERgjWjenzT6NU&q=Thien+Duc+Hospital&authuser=0&hl=en&gl=VN,https://lh5.googleusercontent.com/p/AF1QipPZ-iLnte4m46mWat7pdifVo2pBlHAkQwitRlpu=w408-h306-k-no,Asia/Saigon,,0x3135acd4e9044211:0xd5e8d37c7aa33582,"[{""title"":""All"",""image"":""https://lh5.googleusercontent.com/p/AF1QipPZ-iLnte4m46mWat7pdifVo2pBlHAkQwitRlpu=w397-h298-k-no""},{""title"":""Hospital"",""image"":""https://lh5.googleusercontent.com/p/AF1QipNoqsV94yvNUvMkcizdxmlBUNBDWRtB4e3cbCFh=w397-h298-k-no""},{""title"":""Videos"",""image"":""https://lh5.googleusercontent.com/p/AF1QipOuty5Ugfxm899TSjuIpReDVU_-D4Qftyh_n9Hj=w224-h398-k-no""},{""title"":""Reception"",""image"":""https://lh5.googleusercontent.com/p/AF1QipO-gGRNQgslFMFRdFfEYn0-ppJt9hTJiKhP8YLe=w397-h298-k-no""}]",null,null,"{""link"":"""",""source"":""""}","{""id"":""117191808928435787775"",""name"":""Thien Duc Hospital (Owner)"",""link"":""https://www.google.com/maps/contrib/117191808928435787775""}","{""borough"":""P. Phúc La, Hà Đông"",""street"":""207 Đ. Phùng Hưng"",""city"":""Hanoi"",""postal_code"":"""",""state"":""Hà Đông, Hanoi"",""country"":""VN""}","[{""id"":""accessibility"",""name"":""Accessibility"",""options"":[{""name"":""Wheelchair-accessible car park"",""enabled"":true},{""name"":""Wheelchair-accessible entrance"",""enabled"":true}]}]",null,
68a76f1a-b0bc-40b4-a619-2f9302b00140,https://www.google.com/maps/place/Hoe+Nhai+General+Hospital/data=!4m7!3m6!1s0x3135ab4375efec23:0xdae95d1c05c9b03e!8m2!3d21.0409703!4d105.8459806!16s%2Fg%2F11h1kvfw3f!19sChIJI-zvdUOrNTERPrDJBRxd6do?authuser=0&hl=en&rclk=1,Hoe Nhai General Hospital,General hospital,"34 P. Hoè Nhai, Nguyễn Trung Trực, Ba Đình, Hà Nội","{""Friday"":[""Open 24 hours""],""Monday"":[""Open 24 hours""],""Saturday"":[""Open 24 hours""],""Sunday"":[""Open 24 hours""],""Thursday"":[""Open 24 hours""],""Tuesday"":[""Open 24 hours""],""Wednesday"":[""Open 24 hours""]}",{},http://benhvienhoenhai.vn/,024 3927 2980,"2RRW+99 Ba Đình, Hanoi",43,3.600000,"{""1"":12,""2"":1,""3"":3,""4"":3,""5"":24}",21.040970,105.845981,15774241544779444286,Open 24 hours,,https://search.google.com/local/reviews?placeid=ChIJI-zvdUOrNTERPrDJBRxd6do&q=Hoe+Nhai+General+Hospital&authuser=0&hl=en&gl=VN,https://lh5.googleusercontent.com/p/AF1QipNddf0bkA84OnkpspROwzlsUemSl3af5Xm_AKx-=w408-h603-k-no,Asia/Saigon,,0x3135ab4375efec23:0xdae95d1c05c9b03e,"[{""title"":""All"",""image"":""https://lh5.googleusercontent.com/p/AF1QipNddf0bkA84OnkpspROwzlsUemSl3af5Xm_AKx-=w224-h331-k-no""},{""title"":""Hospital"",""image"":""https://lh5.googleusercontent.com/p/AF1QipNSgcmb5Xdeti9wF7KkMFAhvXuWD36HbC1V3bq9=w529-h298-k-no""},{""title"":""Videos"",""image"":""https://lh5.googleusercontent.com/p/AF1QipPLoospQONfdZxfXnb-EVMqNLd6YM0UJ6dX8DB9=w529-h298-k-no""}]",null,null,"{""link"":"""",""source"":""""}","{""id"":"""",""name"":""Hoe Nhai General Hospital (Owner)"",""link"":""""}","{""borough"":""Nguyễn Trung Trực, Ba Đình"",""street"":""34 P. Hoè Nhai"",""city"":""Hanoi"",""postal_code"":"""",""state"":""Ba Đình, Hanoi"",""country"":""VN""}","[{""id"":""accessibility"",""name"":""Accessibility"",""options"":[{""name"":""Wheelchair-accessible car park"",""enabled"":true},{""name"":""Wheelchair-accessible entrance"",""enabled"":true}]}]",null,
68a76f1a-b0bc-40b4-a619-2f9302b00140,https://www.google.com/maps/place/Vietnam+Cuba+Friendship+Hospital/data=!4m7!3m6!1s0x3135ab937ba816ed:0x1dc3a2b63153c25a!8m2!3d21.0246337!4d105.8504659!16s%2Fg%2F1tlk8vzs!19sChIJ7Raoe5OrNTERWsJTMbaiwx0?authuser=0&hl=en&rclk=1,Vietnam Cuba Friendship Hospital,General hospital,"37 P. Hai Bà Trưng, Tràng Tiền, Hoàn Kiếm, Hà Nội","{""Friday"":[""Open 24 hours""],""Monday"":[""Open 24 hours""],""Saturday"":[""Open 24 hours""],""Sunday"":[""Open 24 hours""],""Thursday"":[""Open 24 hours""],""Tuesday"":[""Open 24 hours""],""Wednesday"":[""Open 24 hours""]}",{},http://vietnamcuba.vn/,024 3825 3304,"2VF2+V5 Hoàn Kiếm, Hanoi",322,3.600000,"{""1"":60,""2"":14,""3"":43,""4"":70,""5"":135}",21.024634,105.850466,2144736750953808474,Open 24 hours,,https://search.google.com/local/reviews?placeid=ChIJ7Raoe5OrNTERWsJTMbaiwx0&q=Vietnam+Cuba+Friendship+Hospital&authuser=0&hl=en&gl=VN,https://lh5.googleusercontent.com/p/AF1QipPApDsOEIMrrLi0C8_jjdMCuL5_48lO-Th5jaqj=w408-h306-k-no,Asia/Saigon,,0x3135ab937ba816ed:0x1dc3a2b63153c25a,"[{""title"":""All"",""image"":""https://lh5.googleusercontent.com/p/AF1QipPApDsOEIMrrLi0C8_jjdMCuL5_48lO-Th5jaqj=w397-h298-k-no""},{""title"":""Latest"",""image"":""https://lh5.googleusercontent.com/p/AF1QipMOfyghmAer0Rcg6klnw0Goc8RGhWeJqMwftVsi=w224-h298-k-no""},{""title"":""Videos"",""image"":""https://lh5.googleusercontent.com/p/AF1QipMY3rwXNvwo26Ilbab9a9VfPP8gXdVLVDex92Sq=w224-h398-k-no""},{""title"":""Building"",""image"":""https://lh5.googleusercontent.com/p/AF1QipN3-fr9lHqeDKJvRHpH9jXS0-KrgvuqEwTwcU7h=w397-h298-k-no""},{""title"":""Street View \u0026 360°"",""image"":""https://lh5.googleusercontent.com/p/AF1QipPFGDecLFcRbgvCx9l2VQFXvBl-hrXknAmGPDyc=w224-h298-k-no-pi-20-ya0-ro0-fo100""}]",null,null,"{""link"":"""",""source"":""""}","{""id"":""111267977045572186475"",""name"":""Vietnam Cuba Friendship Hospital (Owner)"",""link"":""https://www.google.com/maps/contrib/111267977045572186475""}","{""borough"":""Tràng Tiền, Hoàn Kiếm"",""street"":""37 P. Hai Bà Trưng"",""city"":""Hanoi"",""postal_code"":"""",""state"":""Hoàn Kiếm, Hanoi"",""country"":""VN""}","[{""id"":""accessibility"",""name"":""Accessibility"",""options"":[{""name"":""Wheelchair-accessible car park"",""enabled"":true},{""name"":""Wheelchair-accessible entrance"",""enabled"":true}]}]",null,
68a76f1a-b0bc-40b4-a619-2f9302b00140,https://www.google.com/maps/place/Hanoi+Medical+University+Hospital/data=!4m7!3m6!1s0x3135ac7dc5bab827:0xc076d880a1dc5828!8m2!3d21.0023139!4d105.8301675!16s%2Fg%2F1tl1fbvm!19sChIJJ7i6xX2sNTERKFjcoYDYdsA?authuser=0&hl=en&rclk=1,Hanoi Medical University Hospital,University hospital,"1 P. Tôn Thất Tùng, Kim Liên, Đống Đa, Hà Nội","{""Friday"":[""7 AM–12 PM"",""1:30–4:30 PM""],""Monday"":[""7 AM–12 PM"",""1:30–4:30 PM""],""Saturday"":[""7 AM–12 PM""],""Sunday"":[""Closed""],""Thursday"":[""7 AM–12 PM"",""1:30–4:30 PM""],""Tuesday"":[""7 AM–12 PM"",""1:30–4:30 PM""],""Wednesday"":[""7 AM–12 PM"",""1:30–4:30 PM""]}",{},http://www.hmuh.vn/,1900 6422,"2R2J+W3 Đống Đa, Hanoi",1224,3.900000,"{""1"":188,""2"":43,""3"":87,""4"":245,""5"":661}",21.002314,105.830168,13868510149517006888,Closes soon ⋅ 4:30 PM ⋅ Opens 7 AM Thu,,https://search.google.com/local/reviews?placeid=ChIJJ7i6xX2sNTERKFjcoYDYdsA&q=Hanoi+Medical+University+Hospital&authuser=0&hl=en&gl=VN,https://lh5.googleusercontent.com/p/AF1QipPMb5j09io37tQGvksA3JQn5FJP5J9GiYRoWX4=w408-h306-k-no,Asia/Saigon,,0x3135ac7dc5bab827:0xc076d880a1dc5828,"[{""title"":""All"",""image"":""https://lh5.googleusercontent.com/p/AF1QipPMb5j09io37tQGvksA3JQn5FJP5J9GiYRoWX4=w397-h298-k-no""},{""title"":""Latest"",""image"":""https://lh5.googleusercontent.com/p/AF1QipOTsj951JoMXzXxn0Lko58wlcrCKLV7462D3I_W=w224-h298-k-no""},{""title"":""Videos"",""image"":""https://lh5.googleusercontent.com/p/AF1QipN8ev7Flk7u47O_aLgmGWYRLF1URfU0ojiMhXIR=w529-h298-k-no""},{""title"":""By owner"",""image"":""https://lh5.googleusercontent.com/p/AF1QipOO_o-0PAjVzq0d63dDfeA-oxJ2LNTuQtRrsNXy=w521-h298-k-no""},{""title"":""Street View \u0026 360°"",""image"":""https://lh5.googleusercontent.com/p/AF1QipPHjdCfdgC-nam66fx1PtAZN-dejclBDGJcfOB9=w224-h298-k-no-pi-0-ya130.59999-ro-0-fo100""}]",null,null,"{""link"":"""",""source"":""""}","{""id"":""112604373553917357091"",""name"":""Hanoi Medical University Hospital (Owner)"",""link"":""https://www.google.com/maps/contrib/112604373553917357091""}","{""borough"":""Kim Liên, Đống Đa"",""street"":""1 P. Tôn Thất Tùng"",""city"":""Hanoi"",""postal_code"":"""",""state"":""Đống Đa, Hanoi"",""country"":""VN""}","[{""id"":""accessibility"",""name"":""Accessibility"",""options"":[{""name"":""Wheelchair-accessible car park"",""enabled"":true},{""name"":""Wheelchair-accessible entrance"",""enabled"":true},{""name"":""Wheelchair-accessible toilet"",""enabled"":true}]},{""id"":""amenities"",""name"":""Amenities"",""options"":[{""name"":""Toilets"",""enabled"":true}]}]",null,
68a76f1a-b0bc-40b4-a619-2f9302b00140,https://www.google.com/maps/place/Hanoi+French+Hospital/data=!4m7!3m6!1s0x3135ac79e17be4d1:0xc15d882c798ee9b6!8m2!3d21.0036226!4d105.840007!16s%2Fm%2F02vtq84!19sChIJ0eR74XmsNTERtumOeSyIXcE?authuser=0&hl=en&rclk=1,Hanoi French Hospital,Hospital,"Số 1 Phương Mai, Đống Đa, Hà Nội 100000","{""Friday"":[""Open 24 hours""],""Monday"":[""Open 24 hours""],""Saturday"":[""Open 24 hours""],""Sunday"":[""Open 24 hours""],""Thursday"":[""Open 24 hours""],""Tuesday"":[""Open 24 hours""],""Wednesday"":[""Open 24 hours""]}",{},http://www.hfh.com.vn/,024 3577 1100,"2R3R+C2 Đống Đa, Hanoi",835,4.000000,"{""1"":136,""2"":25,""3"":48,""4"":118,""5"":508}",21.003623,105.840007,13933442546753530294,Open 24 hours,,https://search.google.com/local/reviews?placeid=ChIJ0eR74XmsNTERtumOeSyIXcE&q=Hanoi+French+Hospital&authuser=0&hl=en&gl=VN,https://lh5.googleusercontent.com/p/AF1QipOT2m-sf0YVKIqWKTYs8pj72AewNurB1cIsr9U9=w427-h240-k-no,Asia/Saigon,,0x3135ac79e17be4d1:0xc15d882c798ee9b6,"[{""title"":""All"",""image"":""https://lh5.googleusercontent.com/p/AF1QipOT2m-sf0YVKIqWKTYs8pj72AewNurB1cIsr9U9=w530-h298-k-no""},{""title"":""Latest"",""image"":""https://lh5.googleusercontent.com/p/AF1QipOYwLN1ZifhGX4TP0wlQcKIvg2SyHDkvwz7sYaq=w224-h298-k-no""},{""title"":""Videos"",""image"":""https://lh5.googleusercontent.com/p/AF1QipP11MY9xB8QEnaGLlg38ic9W0u0DnqvV2OJ_hVg=w529-h298-k-no""},{""title"":""Hospital"",""image"":""https://lh5.googleusercontent.com/p/AF1QipMuimg8jQtWjnRMsXWDDmiZMLnYIchAGLbazUQN=w447-h298-k-no""},{""title"":""Reception"",""image"":""https://lh5.googleusercontent.com/p/AF1QipM1NITrd9UCHn8CARZ-Zwhd-bq9fYMvzs7Q-zie=w446-h298-k-no""},{""title"":""By owner"",""image"":""https://lh5.googleusercontent.com/p/AF1QipNgy5v2uEb879yOdBdlhbbJnxSTPOq61iJYTUoT=w529-h298-k-no""},{""title"":""Street View \u0026 360°"",""image"":""https://lh5.googleusercontent.com/p/AF1QipP824JfIsZF2MHAs2q9LLxPZtBPv0_-Qj-gwPdu=w224-h298-k-no-pi-20-ya120.00001-ro-0-fo100""}]",null,null,"{""link"":"""",""source"":""""}","{""id"":""108730994661617324698"",""name"":""Hanoi French Hospital (Owner)"",""link"":""https://www.google.com/maps/contrib/108730994661617324698""}","{""borough"":""Phương Mai, Đống Đa"",""street"":""Số 1 Phương Mai"",""city"":""Hanoi"",""postal_code"":""100000"",""state"":""Đống Đa, Hanoi"",""country"":""VN""}","[{""id"":""accessibility"",""name"":""Accessibility"",""options"":[{""name"":""Wheelchair-accessible car park"",""enabled"":true},{""name"":""Wheelchair-accessible entrance"",""enabled"":true}]}]",null,
68a76f1a-b0bc-40b4-a619-2f9302b00140,https://www.google.com/maps/place/Agriculture+General+Hospital/data=!4m7!3m6!1s0x3135adf343acb4ab:0xedcc73458154d625!8m2!3d20.9212701!4d105.853351!16s%2Fg%2F1xcbm2tb!19sChIJq7SsQ_OtNTERJdZUgUVzzO0?authuser=0&hl=en&rclk=1,Agriculture General Hospital,General hospital,"Km13+500, QL1A, Ngọc Hồi, Thanh Trì, Hà Nội","{""Friday"":[""Open 24 hours""],""Monday"":[""Open 24 hours""],""Saturday"":[""Open 24 hours""],""Sunday"":[""Open 24 hours""],""Thursday"":[""Open 24 hours""],""Tuesday"":[""Open 24 hours""],""Wednesday"":[""Open 24 hours""]}",{},http://benhviendakhoanongnghiep.vn/,024 3861 5320,"WVC3+G8 Thanh Trì, Hanoi",186,3.600000,"{""1"":46,""2"":3,""3"":17,""4"":34,""5"":86}",20.921270,105.853351,17135197424597653029,Open 24 hours,,https://search.google.com/local/reviews?placeid=ChIJq7SsQ_OtNTERJdZUgUVzzO0&q=Agriculture+General+Hospital&authuser=0&hl=en&gl=VN,https://lh5.googleusercontent.com/p/AF1QipOXyo9PlSAJCyyKYDLcRW49tx1cqN6f6zbuFDC3=w408-h271-k-no,Asia/Saigon,,0x3135adf343acb4ab:0xedcc73458154d625,"[{""title"":""All"",""image"":""https://lh5.googleusercontent.com/p/AF1QipOXyo9PlSAJCyyKYDLcRW49tx1cqN6f6zbuFDC3=w447-h298-k-no""},{""title"":""Videos"",""image"":""https://lh5.googleusercontent.com/p/AF1QipOAcV4WFV3sVcx4WheYJ14uiNH_O9Z0YDgeHvkr=w224-h398-k-no""}]",null,null,"{""link"":"""",""source"":""""}","{""id"":"""",""name"":""Agriculture General Hospital (Owner)"",""link"":""""}","{""borough"":""Ngọc Hồi, Thanh Trì"",""street"":""Km13+500, QL1A"",""city"":""Hanoi"",""postal_code"":"""",""state"":""Thanh Trì, Hanoi"",""country"":""VN""}","[{""id"":""accessibility"",""name"":""Accessibility"",""options"":[{""name"":""Wheelchair-accessible car park"",""enabled"":true},{""name"":""Wheelchair-accessible entrance"",""enabled"":true}]}]",null,
68a76f1a-b0bc-40b4-a619-2f9302b00140,https://www.google.com/maps/place/E+Hospital/data=!4m7!3m6!1s0x3135ab2bc3ed7b2f:0x8479b93f543c3f15!8m2!3d21.0503396!4d105.7888586!16s%2Fg%2F11hgj_b3wd!19sChIJL3vtwyurNTERFT88VD-5eYQ?authuser=0&hl=en&rclk=1,E Hospital,General hospital,"87-89 Đ. Trần Cung, Nghĩa Tân, Cầu Giấy, Hà Nội 100000","{""Friday"":[""Open 24 hours""],""Monday"":[""Open 24 hours""],""Saturday"":[""Open 24 hours""],""Sunday"":[""Open 24 hours""],""Thursday"":[""Open 24 hours""],""Tuesday"":[""Open 24 hours""],""Wednesday"":[""Open 24 hours""]}",{},https://benhviene.com/,0868 891 318,"3Q2Q+4G Cầu Giấy, Hanoi",354,2.800000,"{""1"":155,""2"":20,""3"":21,""4"":45,""5"":113}",21.050340,105.788859,9545864566835789589,Open 24 hours,,https://search.google.com/local/reviews?placeid=ChIJL3vtwyurNTERFT88VD-5eYQ&q=E+Hospital&authuser=0&hl=en&gl=VN,https://lh5.googleusercontent.com/p/AF1QipNUBw2fTn7iZyRr8wulZ0bXR8ugxXqiUX2QVept=w408-h306-k-no,Asia/Saigon,,0x3135ab2bc3ed7b2f:0x8479b93f543c3f15,"[{""title"":""All"",""image"":""https://lh5.googleusercontent.com/p/AF1QipNUBw2fTn7iZyRr8wulZ0bXR8ugxXqiUX2QVept=w397-h298-k-no""},{""title"":""Latest"",""image"":""https://lh5.googleusercontent.com/p/AF1QipMkU58JP7_hIvIq2A3a30nWlVFWgWzj37-DTWWI=w397-h298-k-no""},{""title"":""Videos"",""image"":""https://lh5.googleusercontent.com/p/AF1QipPFkVAyWtNl3-B7swru6NuGHX4LxKX6ZjErFCUD=w529-h298-k-no""},{""title"":""Building"",""image"":""https://lh5.googleusercontent.com/p/AF1QipOo_nwDQo8VC8Y5dA9tykn06cqDP2i-brVzS-X2=w397-h298-k-no""},{""title"":""Reception"",""image"":""https://lh5.googleusercontent.com/p/AF1QipOQqnJdGfgZde5hI4ELU31kK17YMS4ukWopHc3O=w397-h298-k-no""},{""title"":""Street View \u0026 360°"",""image"":""https://lh5.googleusercontent.com/p/AF1QipP1ZEnAsguuqyZzsrJKYM-QsI41YmLjk7fY2Q2z=w224-h298-k-no-pi-10-ya27.000015-ro-0-fo100""}]",null,null,"{""link"":"""",""source"":""""}","{""id"":""113739407695338806199"",""name"":""E Hospital (Owner)"",""link"":""https://www.google.com/maps/contrib/113739407695338806199""}","{""borough"":""Nghĩa Tân, Cầu Giấy"",""street"":""87-89 Đ. Trần Cung"",""city"":""Hanoi"",""postal_code"":""100000"",""state"":""Cầu Giấy, Hanoi"",""country"":""VN""}","[{""id"":""accessibility"",""name"":""Accessibility"",""options"":[{""name"":""Wheelchair-accessible car park"",""enabled"":true},{""name"":""Wheelchair-accessible entrance"",""enabled"":true}]}]",null,
68a76f1a-b0bc-40b4-a619-2f9302b00140,https://www.google.com/maps/place/%C4%90%C3%B4ng+y+%2F+Ph%E1%BB%A5+khoa/data=!4m7!3m6!1s0x3135ab9eb049c011:0xe40caa8f1f7ec589!8m2!3d21.0265673!4d105.8334277!16s%2Fg%2F11kx86kh4c!19sChIJEcBJsJ6rNTERicV-H4-qDOQ?authuser=0&hl=en&rclk=1,Đông y / Phụ khoa,General hospital,"118 P.Tôn Đức Thắng, Quốc Tử Giám, Đống Đa, Hà Nội",{},{},,024 3823 0854,"2RGM+J9 Đống Đa, Hanoi",0,0.000000,"{""1"":0,""2"":0,""3"":0,""4"":0,""5"":0}",21.026567,105.833428,16432696672053544329,,,,,Asia/Saigon,,0x3135ab9eb049c011:0xe40caa8f1f7ec589,[],null,null,"{""link"":"""",""source"":""""}","{""id"":"""",""name"":""Đông y / Phụ khoa (Owner)"",""link"":""""}","{""borough"":""Quốc Tử Giám, Đống Đa"",""street"":""118 P.Tôn Đức Thắng"",""city"":""Hanoi"",""postal_code"":"""",""state"":""Đống Đa, Hanoi"",""country"":""VN""}",null,null,
68a76f1a-b0bc-40b4-a619-2f9302b00140,https://www.google.com/maps/place/Pk+Ng%E1%BB%8Dc+Thi%E1%BB%87n/data=!4m7!3m6!1s0x313513f6fd8604f9:0x8ceb32937a3389f1!8m2!3d21.3528082!4d106.0787373!16s%2Fg%2F11gf5wbf2n!19sChIJ-QSG_fYTNTER8YkzepMy64w?authuser=0&hl=en&rclk=1,Pk Ngọc Thiện,General hospital,"1 Phố Tân Lập, Ngọc Thiện, Tân Yên, Bắc Giang",{},{},,,"933H+4F Tân Yên District, Bac Giang",5,4.000000,"{""1"":1,""2"":0,""3"":0,""4"":1,""5"":3}",21.352808,106.078737,10154265393828694513,,,https://search.google.com/local/reviews?placeid=ChIJ-QSG_fYTNTER8YkzepMy64w&q=Pk+Ng%E1%BB%8Dc+Thi%E1%BB%87n&authuser=0&hl=en&gl=VN,https://lh5.googleusercontent.com/p/AF1QipOLg24DzLVrusKWUk2QXbhkKKglIb_4VnUz6Wmb=w408-h725-k-no,Asia/Saigon,,0x313513f6fd8604f9:0x8ceb32937a3389f1,"[{""title"":""All"",""image"":""https://lh5.googleusercontent.com/p/AF1QipOLg24DzLVrusKWUk2QXbhkKKglIb_4VnUz6Wmb=w224-h398-k-no""}]",null,null,"{""link"":"""",""source"":""""}","{""id"":"""",""name"":""Pk Ngọc Thiện (Owner)"",""link"":""""}","{""borough"":""Ngọc Thiện, Tân Yên District"",""street"":""1 Phố Tân Lập"",""city"":""Bac Giang"",""postal_code"":"""",""state"":""Tân Yên District, Bac Giang"",""country"":""VN""}",null,null,
