input_id,link,title,category,address,open_hours,popular_times,website,phone,plus_code,review_count,review_rating,reviews_per_rating,latitude,longitude,cid,status,descriptions,reviews_link,thumbnail,timezone,price_range,data_id,images,reservations,order_online,menu,owner,complete_address,about,user_reviews,emails
606fb84b-c9db-438e-90fa-a6eea1a39785,https://www.google.com/maps/place/ATM+Vietcombank/data=!4m7!3m6!1s0x3135abbd059514ed:0x6cf7ae6f0b67bb9c!8m2!3d21.025918!4d105.8512998!16s%2Fg%2F11tx5bgyd4!19sChIJ7RSVBb2rNTERnLtnC2-u92w?authuser=0&hl=en&rclk=1,ATM Vietcombank,ATM,"5 P. Tràng Thi, Tràng Tiền, Hoàn Kiếm, Hà Nội",{},{},,,"2VG2+9G Hoàn Kiếm, Hanoi",0,0.000000,"{""1"":0,""2"":0,""3"":0,""4"":0,""5"":0}",21.025918,105.851300,7851936267299699612,,,,https://lh5.googleusercontent.com/p/AF1QipNLYX6eUEcWGhYdeS9PKDQk9VxL_3eY04B4VPaZ=w408-h545-k-no,Asia/Saigon,,0x3135abbd059514ed:0x6cf7ae6f0b67bb9c,"[{""title"":""All"",""image"":""https://lh5.googleusercontent.com/p/AF1QipNLYX6eUEcWGhYdeS9PKDQk9VxL_3eY04B4VPaZ=w224-h299-k-no""},{""title"":""Exterior"",""image"":""https://lh5.googleusercontent.com/p/AF1QipNLYX6eUEcWGhYdeS9PKDQk9VxL_3eY04B4VPaZ=w224-h299-k-no""}]",null,null,"{""link"":"""",""source"":""""}","{""id"":"""",""name"":""ATM Vietcombank (Owner)"",""link"":""""}","{""borough"":""Tràng Tiền, Hoàn Kiếm"",""street"":""5 P. Tràng Thi"",""city"":""Hanoi"",""postal_code"":"""",""state"":""Hoàn Kiếm, Hanoi"",""country"":""VN""}",null,null,
606fb84b-c9db-438e-90fa-a6eea1a39785,https://www.google.com/maps/place/ATM+Vietcombank/data=!4m7!3m6!1s0x3135abea3a8bf419:0x4e4349309be23bf!8m2!3d21.0279749!4d105.8574949!16s%2Fg%2F11b7rtts0w!19sChIJGfSLOuqrNTERvyO-CZM05AQ?authuser=0&hl=en&rclk=1,ATM Vietcombank,ATM,"Vietnam/4 P. Lê Lai, Lý Thái Tổ, Hoàn Kiếm, Hà Nội","{""Friday"":[""Open 24 hours""],""Monday"":[""Open 24 hours""],""Saturday"":[""Open 24 hours""],""Sunday"":[""Open 24 hours""],""Thursday"":[""Open 24 hours""],""Tuesday"":[""Open 24 hours""],""Wednesday"":[""Open 24 hours""]}","{""Friday"":{""0"":0,""1"":5,""10"":5,""11"":0,""12"":0,""13"":5,""14"":31,""15"":68,""16"":100,""17"":52,""18"":31,""19"":5,""2"":0,""20"":0,""21"":5,""22"":15,""23"":5,""3"":5,""4"":10,""5"":5,""6"":0,""7"":5,""8"":10,""9"":5},""Monday"":{""0"":31,""1"":15,""10"":5,""11"":0,""12"":0,""13"":0,""14"":0,""15"":10,""16"":26,""17"":36,""18"":15,""19"":5,""2"":5,""20"":0,""21"":5,""22"":21,""23"":21,""3"":10,""4"":15,""5"":10,""6"":21,""7"":15,""8"":5,""9"":0},""Saturday"":{""0"":26,""1"":10,""10"":5,""11"":5,""12"":0,""13"":0,""14"":0,""15"":5,""16"":10,""17"":5,""18"":5,""19"":10,""2"":10,""20"":21,""21"":10,""22"":10,""23"":10,""3"":10,""4"":5,""5"":0,""6"":10,""7"":10,""8"":15,""9"":10},""Sunday"":{""0"":5,""1"":15,""10"":10,""11"":15,""12"":21,""13"":47,""14"":21,""15"":15,""16"":21,""17"":47,""18"":47,""19"":21,""2"":31,""20"":5,""21"":0,""22"":0,""23"":0,""3"":15,""4"":10,""5"":10,""6"":26,""7"":10,""8"":5,""9"":5},""Thursday"":{""0"":10,""1"":31,""10"":21,""11"":31,""12"":21,""13"":21,""14"":15,""15"":21,""16"":5,""17"":0,""18"":0,""19"":0,""2"":31,""20"":0,""21"":0,""22"":0,""23"":5,""3"":47,""4"":21,""5"":10,""6"":0,""7"":0,""8"":0,""9"":10},""Tuesday"":{""0"":0,""1"":5,""10"":15,""11"":10,""12"":0,""13"":5,""14"":15,""15"":36,""16"":15,""17"":5,""18"":0,""19"":0,""2"":0,""20"":5,""21"":0,""22"":0,""23"":0,""3"":0,""4"":0,""5"":5,""6"":0,""7"":5,""8"":10,""9"":10},""Wednesday"":{""0"":5,""1"":10,""10"":36,""11"":63,""12"":36,""13"":21,""14"":21,""15"":26,""16"":47,""17"":52,""18"":31,""19"":15,""2"":21,""20"":21,""21"":15,""22"":5,""23"":0,""3"":10,""4"":15,""5"":21,""6"":15,""7"":15,""8"":10,""9"":36}}",,024 3824 5716,"2VH4+5X Hoàn Kiếm, Hanoi",17,2.600000,"{""1"":8,""2"":1,""3"":1,""4"":3,""5"":4}",21.027975,105.857495,352464476970034111,Open 24 hours,,https://search.google.com/local/reviews?placeid=ChIJGfSLOuqrNTERvyO-CZM05AQ&q=ATM+Vietcombank&authuser=0&hl=en&gl=VN,https://lh5.googleusercontent.com/p/AF1QipNK5-JOOdFAGI1JDfJ_jAVC46zEvJXe5lJzMiYl=w408-h544-k-no,Asia/Saigon,,0x3135abea3a8bf419:0x4e4349309be23bf,"[{""title"":""All"",""image"":""https://lh5.googleusercontent.com/p/AF1QipNK5-JOOdFAGI1JDfJ_jAVC46zEvJXe5lJzMiYl=w224-h298-k-no""},{""title"":""Exterior"",""image"":""https://lh5.googleusercontent.com/p/AF1QipPNp-qpa1KzPekws1wRq6MC5pzPV8ehzxmEy-9K=w224-h298-k-no""},{""title"":""Inside"",""image"":""https://lh5.googleusercontent.com/p/AF1QipM3NqXEK0jFp6iK5WlECjbHZBUzblyVoWrELtXF=w397-h298-k-no""}]",null,null,"{""link"":"""",""source"":""""}","{""id"":"""",""name"":""ATM Vietcombank (Owner)"",""link"":""""}","{""borough"":""Lý Thái Tổ, Hoàn Kiếm"",""street"":""Vietnam/4 P. Lê Lai"",""city"":""Hanoi"",""postal_code"":"""",""state"":""Hoàn Kiếm, Hanoi"",""country"":""VN""}",null,null,
606fb84b-c9db-438e-90fa-a6eea1a39785,https://www.google.com/maps/place/ATM+Vietcombank+%C4%90H+Th%E1%BB%A7y+l%E1%BB%A3i/data=!4m7!3m6!1s0x3135ac819ce86945:0x916ee6888486324c!8m2!3d21.007545!4d105.8233337!16s%2Fg%2F11c1rfc0dh!19sChIJRWnonIGsNTERTDKGhIjmbpE?authuser=0&hl=en&rclk=1,ATM Vietcombank ĐH Thủy lợi,ATM,"2R5F+288 ATM Vietcombank ĐH Thủy lợi, Trung Liệt, Đống Đa, Hà Nội",{},{},,,,5,4.200000,"{""1"":0,""2"":0,""3"":1,""4"":2,""5"":2}",21.007545,105.823334,10479566856951050828,,,https://search.google.com/local/reviews?placeid=ChIJRWnonIGsNTERTDKGhIjmbpE&q=ATM+Vietcombank+%C4%90H+Th%E1%BB%A7y+l%E1%BB%A3i&authuser=0&hl=en&gl=VN,https://lh5.googleusercontent.com/p/AF1QipO2xhWVoAqHiwX1MPJcs9iLf10Z8rFtGgBqn86R=w408-h544-k-no,Asia/Saigon,,0x3135ac819ce86945:0x916ee6888486324c,"[{""title"":""All"",""image"":""https://lh5.googleusercontent.com/p/AF1QipO2xhWVoAqHiwX1MPJcs9iLf10Z8rFtGgBqn86R=w224-h298-k-no""}]",null,null,"{""link"":"""",""source"":""""}","{""id"":"""",""name"":""ATM Vietcombank ĐH Thủy lợi (Owner)"",""link"":""""}","{""borough"":""Trung Liệt, Đống Đa"",""street"":""2R5F+288"",""city"":""Hanoi"",""postal_code"":"""",""state"":""Đống Đa, Hanoi"",""country"":""VN""}",null,null,
606fb84b-c9db-438e-90fa-a6eea1a39785,https://www.google.com/maps/place/Vietcombank+-+Atm/data=!4m7!3m6!1s0x3135ab9393fab515:0xd27e12fcf76c5bf9!8m2!3d21.0240747!4d105.8484637!16s%2Fg%2F1jkvzpbwy!19sChIJFbX6k5OrNTER-Vts9_wSftI?authuser=0&hl=en&rclk=1,Vietcombank - Atm,ATM,"44 P. Lý Thường Kiệt, Trần Hưng Đạo, Hoàn Kiếm, Hà Nội",{},{},,,"2RFX+J9 Hoàn Kiếm, Hanoi",4,3.000000,"{""1"":1,""2"":0,""3"":2,""4"":0,""5"":1}",21.024075,105.848464,15167581472722541561,,,https://search.google.com/local/reviews?placeid=ChIJFbX6k5OrNTER-Vts9_wSftI&q=Vietcombank+-+Atm&authuser=0&hl=en&gl=VN,https://lh5.googleusercontent.com/p/AF1QipPybkxNCLXLB6MEAhibWSkB4eUJWOKiEyIcBdJC=w408-h544-k-no,Asia/Saigon,,0x3135ab9393fab515:0xd27e12fcf76c5bf9,"[{""title"":""All"",""image"":""https://lh5.googleusercontent.com/p/AF1QipPybkxNCLXLB6MEAhibWSkB4eUJWOKiEyIcBdJC=w224-h298-k-no""}]",null,null,"{""link"":"""",""source"":""""}","{""id"":"""",""name"":""Vietcombank - Atm (Owner)"",""link"":""""}","{""borough"":""Trần Hưng Đạo, Hoàn Kiếm"",""street"":""44 P. Lý Thường Kiệt"",""city"":""Hanoi"",""postal_code"":"""",""state"":""Hoàn Kiếm, Hanoi"",""country"":""VN""}",null,null,
606fb84b-c9db-438e-90fa-a6eea1a39785,https://www.google.com/maps/place/ATM+Vietcombank+-+Oil+And+Gas+Group+Exchange/data=!4m7!3m6!1s0x3135ab7aafff5b8d:0x3c5f92abb53859b3!8m2!3d21.0214051!4d105.8180287!16s%2Fg%2F11b6dr8l3z!19sChIJjVv_r3qrNTERs1k4tauSXzw?authuser=0&hl=en&rclk=1,ATM Vietcombank - Oil And Gas Group Exchange,ATM,"18, Phố Láng Hạ, Phường Thành Công, Quận Ba Đình, Thành Công, Ba Đình, Hà Nội",{},{},,,"2RC9+H6 Ba Đình, Hanoi",0,0.000000,"{""1"":0,""2"":0,""3"":0,""4"":0,""5"":0}",21.021405,105.818029,4350357031240620467,,,,https://lh5.googleusercontent.com/p/AF1QipMjHPPRdUk0reaOkhKX3aIq4JQBrtjwVK_dgmly=w408-h544-k-no,Asia/Saigon,,0x3135ab7aafff5b8d:0x3c5f92abb53859b3,"[{""title"":""All"",""image"":""https://lh5.googleusercontent.com/p/AF1QipMjHPPRdUk0reaOkhKX3aIq4JQBrtjwVK_dgmly=w224-h298-k-no""},{""title"":""Exterior"",""image"":""https://lh5.googleusercontent.com/p/AF1QipML29yue55eCv5067sKCi0Qeb6jPu1Wk6gGTokO=w224-h298-k-no""}]",null,null,"{""link"":"""",""source"":""""}","{""id"":"""",""name"":""ATM Vietcombank - Oil And Gas Group Exchange (Owner)"",""link"":""""}","{""borough"":""Thành Công, Ba Đình"",""street"":""18, Phố Láng Hạ, Phường Thành Công, Quận Ba Đình"",""city"":""Hanoi"",""postal_code"":"""",""state"":""Ba Đình, Hanoi"",""country"":""VN""}",null,null,
606fb84b-c9db-438e-90fa-a6eea1a39785,https://www.google.com/maps/place/ATM+Vietcombank+-+Thi%C3%AAn+S%C6%A1n+Plaza/data=!4m7!3m6!1s0x3135ab9d6a049239:0xd1324e15dc10c6ac!8m2!3d21.0285594!4d105.8589581!16s%2Fg%2F11gvwnd_zg!19sChIJOZIEap2rNTERrMYQ3BVOMtE?authuser=0&hl=en&rclk=1,ATM Vietcombank - Thiên Sơn Plaza,ATM,"2 P. Chương Dương Độ, Chương Dương Độ, Hoàn Kiếm, Hà Nội",{},{},,,"2VH5+CH Hoàn Kiếm, Hanoi",1,5.000000,"{""1"":0,""2"":0,""3"":0,""4"":0,""5"":1}",21.028559,105.858958,15074196758555838124,,,https://search.google.com/local/reviews?placeid=ChIJOZIEap2rNTERrMYQ3BVOMtE&q=ATM+Vietcombank+-+Thi%C3%AAn+S%C6%A1n+Plaza&authuser=0&hl=en&gl=VN,https://lh5.googleusercontent.com/p/AF1QipOCIjwve4MHZnFzuUjtu85gvE5zT1Ts5NiAD1AK=w408-h544-k-no,Asia/Saigon,,0x3135ab9d6a049239:0xd1324e15dc10c6ac,"[{""title"":""All"",""image"":""https://lh5.googleusercontent.com/p/AF1QipOCIjwve4MHZnFzuUjtu85gvE5zT1Ts5NiAD1AK=w224-h298-k-no""},{""title"":""Automated teller machine"",""image"":""https://lh5.googleusercontent.com/p/AF1QipOCIjwve4MHZnFzuUjtu85gvE5zT1Ts5NiAD1AK=w224-h298-k-no""}]",null,null,"{""link"":"""",""source"":""""}","{""id"":"""",""name"":""ATM Vietcombank - Thiên Sơn Plaza (Owner)"",""link"":""""}","{""borough"":""Chương Dương Độ, Hoàn Kiếm"",""street"":""2 P. Chương Dương Độ"",""city"":""Hanoi"",""postal_code"":"""",""state"":""Hoàn Kiếm, Hanoi"",""country"":""VN""}",null,null,
606fb84b-c9db-438e-90fa-a6eea1a39785,https://www.google.com/maps/place/Vietcombank+-+Atm/data=!4m7!3m6!1s0x3135abbf93b42b67:0x690111ac5d6b5e03!8m2!3d21.0323376!4d105.8517031!16s%2Fg%2F1jkw7k0y7!19sChIJZyu0k7-rNTERA15rXawRAWk?authuser=0&hl=en&rclk=1,Vietcombank - Atm,ATM,"110 P. Cầu Gỗ, Hàng Đào, Hoàn Kiếm, Hà Nội","{""Friday"":[""Open 24 hours""],""Monday"":[""Open 24 hours""],""Saturday"":[""Open 24 hours""],""Sunday"":[""Open 24 hours""],""Thursday"":[""Open 24 hours""],""Tuesday"":[""Open 24 hours""],""Wednesday"":[""Open 24 hours""]}","{""Friday"":{""0"":16,""1"":25,""10"":33,""11"":25,""12"":16,""13"":33,""14"":25,""15"":50,""16"":41,""17"":16,""18"":0,""19"":0,""2"":16,""20"":8,""21"":8,""22"":25,""23"":33,""3"":0,""4"":8,""5"":33,""6"":25,""7"":50,""8"":50,""9"":58},""Monday"":{""0"":33,""1"":25,""10"":0,""11"":0,""12"":0,""13"":0,""14"":8,""15"":33,""16"":58,""17"":58,""18"":100,""19"":50,""2"":50,""20"":25,""21"":8,""22"":25,""23"":58,""3"":66,""4"":91,""5"":41,""6"":25,""7"":16,""8"":8,""9"":0},""Saturday"":{""0"":16,""1"":16,""10"":33,""11"":25,""12"":16,""13"":8,""14"":0,""15"":8,""16"":16,""17"":16,""18"":16,""19"":8,""2"":33,""20"":0,""21"":0,""22"":0,""23"":0,""3"":16,""4"":8,""5"":8,""6"":16,""7"":50,""8"":33,""9"":58},""Sunday"":{""0"":25,""1"":33,""10"":50,""11"":16,""12"":25,""13"":33,""14"":25,""15"":41,""16"":41,""17"":83,""18"":66,""19"":83,""2"":16,""20"":91,""21"":66,""22"":58,""23"":25,""3"":8,""4"":8,""5"":25,""6"":16,""7"":33,""8"":75,""9"":58},""Thursday"":{""0"":0,""1"":8,""10"":16,""11"":33,""12"":41,""13"":66,""14"":83,""15"":75,""16"":25,""17"":8,""18"":8,""19"":16,""2"":25,""20"":33,""21"":16,""22"":8,""23"":0,""3"":25,""4"":33,""5"":33,""6"":41,""7"":75,""8"":33,""9"":25},""Tuesday"":{""0"":91,""1"":66,""10"":58,""11"":25,""12"":8,""13"":8,""14"":16,""15"":25,""16"":41,""17"":16,""18"":8,""19"":0,""2"":58,""20"":0,""21"":0,""22"":16,""23"":33,""3"":16,""4"":8,""5"":0,""6"":8,""7"":0,""8"":8,""9"":25},""Wednesday"":{""0"":16,""1"":8,""10"":25,""11"":16,""12"":16,""13"":16,""14"":16,""15"":16,""16"":16,""17"":8,""18"":0,""19"":8,""2"":0,""20"":25,""21"":58,""22"":41,""23"":25,""3"":16,""4"":41,""5"":91,""6"":58,""7"":58,""8"":16,""9"":16}}",,,"2VJ2+WM Hoàn Kiếm, Hanoi",31,3.000000,"{""1"":10,""2"":2,""3"":3,""4"":9,""5"":7}",21.032338,105.851703,7566348280958508547,Open 24 hours,,https://search.google.com/local/reviews?placeid=ChIJZyu0k7-rNTERA15rXawRAWk&q=Vietcombank+-+Atm&authuser=0&hl=en&gl=VN,https://lh5.googleusercontent.com/p/AF1QipM84SMVq8WbPG_UfydlrAgmrJ2Fhvc6bqqTxabd=w408-h544-k-no,Asia/Saigon,,0x3135abbf93b42b67:0x690111ac5d6b5e03,"[{""title"":""All"",""image"":""https://lh5.googleusercontent.com/p/AF1QipM84SMVq8WbPG_UfydlrAgmrJ2Fhvc6bqqTxabd=w224-h298-k-no""},{""title"":""Exterior"",""image"":""https://lh5.googleusercontent.com/p/AF1QipNKrnkD06-wF-bVNqdwCrbN-naTlVQ6TVNTb9BU=w529-h298-k-no""},{""title"":""Videos"",""image"":""https://lh5.googleusercontent.com/p/AF1QipO5Z0T9bYjhqxy0vy5gA4QXvAHZmZmINvpKpJxl=w224-h398-k-no""}]",null,null,"{""link"":"""",""source"":""""}","{""id"":"""",""name"":""Vietcombank - Atm (Owner)"",""link"":""""}","{""borough"":""Hàng Đào, Hoàn Kiếm"",""street"":""110 P. Cầu Gỗ"",""city"":""Hanoi"",""postal_code"":"""",""state"":""Hoàn Kiếm, Hanoi"",""country"":""VN""}",null,null,
606fb84b-c9db-438e-90fa-a6eea1a39785,https://www.google.com/maps/place/ATM+Vietcombank+Ngo%E1%BA%A1i+Th%C6%B0%C6%A1ng/data=!4m7!3m6!1s0x3135ab28248b203d:0x2b352e04153f8bc5!8m2!3d21.0221965!4d105.8057227!16s%2Fg%2F11szb88lpt!19sChIJPSCLJCirNTERxYs_FQQuNSs?authuser=0&hl=en&rclk=1,ATM Vietcombank Ngoại Thương,ATM,"2RC4+V7H ATM Vietcombank Ngoại Thương, Láng Thượng, Đống Đa, Hà Nội",{},{},,,,0,0.000000,"{""1"":0,""2"":0,""3"":0,""4"":0,""5"":0}",21.022196,105.805723,3113445312467798981,,,,https://lh5.googleusercontent.com/p/AF1QipPSliwsj_q2FYs-LUhhSyK2uQjgFDz4dSREmZ-x=w408-h541-k-no,Asia/Saigon,,0x3135ab28248b203d:0x2b352e04153f8bc5,"[{""title"":""All"",""image"":""https://lh5.googleusercontent.com/p/AF1QipPSliwsj_q2FYs-LUhhSyK2uQjgFDz4dSREmZ-x=w224-h298-k-no""},{""title"":""Automated teller machine"",""image"":""https://lh5.googleusercontent.com/p/AF1QipPSliwsj_q2FYs-LUhhSyK2uQjgFDz4dSREmZ-x=w224-h298-k-no""}]",null,null,"{""link"":"""",""source"":""""}","{""id"":"""",""name"":""ATM Vietcombank Ngoại Thương (Owner)"",""link"":""""}","{""borough"":""Láng Thượng, Đống Đa"",""street"":""2RC4+V7H"",""city"":""Hanoi"",""postal_code"":"""",""state"":""Đống Đa, Hanoi"",""country"":""VN""}",null,null,
606fb84b-c9db-438e-90fa-a6eea1a39785,https://www.google.com/maps/place/ATM+Vietcombank/data=!4m7!3m6!1s0x3135a99d07edf7e1:0x7f400c01bcd6537!8m2!3d21.0502786!4d105.8932666!16s%2Fg%2F1pzt7h2bg!19sChIJ4fftB52pNTERN2XNG8AA9Ac?authuser=0&hl=en&rclk=1,ATM Vietcombank,ATM,"7 - 9, Đường Nguyễn Văn Linh, Phường Đức Giang, Quận Long Biên, Gia Thụy, Long Biên, Hà Nội","{""Friday"":[""Open 24 hours""],""Monday"":[""Open 24 hours""],""Saturday"":[""Open 24 hours""],""Sunday"":[""Open 24 hours""],""Thursday"":[""Open 24 hours""],""Tuesday"":[""Open 24 hours""],""Wednesday"":[""Open 24 hours""]}","{""Friday"":{""0"":23,""1"":32,""10"":52,""11"":44,""12"":35,""13"":14,""14"":5,""15"":0,""16"":0,""17"":0,""18"":0,""19"":0,""2"":41,""20"":0,""21"":2,""22"":8,""23"":23,""3"":29,""4"":26,""5"":38,""6"":23,""7"":14,""8"":14,""9"":35},""Monday"":{""0"":0,""1"":8,""10"":20,""11"":26,""12"":50,""13"":26,""14"":20,""15"":8,""16"":11,""17"":26,""18"":32,""19"":47,""2"":20,""20"":20,""21"":8,""22"":0,""23"":2,""3"":41,""4"":29,""5"":29,""6"":35,""7"":20,""8"":11,""9"":5},""Saturday"":{""0"":17,""1"":5,""10"":5,""11"":8,""12"":23,""13"":17,""14"":14,""15"":2,""16"":0,""17"":2,""18"":5,""19"":11,""2"":0,""20"":8,""21"":17,""22"":35,""23"":38,""3"":8,""4"":20,""5"":32,""6"":23,""7"":11,""8"":2,""9"":0},""Sunday"":{""0"":41,""1"":85,""10"":14,""11"":8,""12"":26,""13"":35,""14"":47,""15"":32,""16"":26,""17"":11,""18"":14,""19"":17,""2"":100,""20"":20,""21"":20,""22"":8,""23"":14,""3"":50,""4"":17,""5"":0,""6"":8,""7"":11,""8"":14,""9"":8},""Thursday"":{""0"":17,""1"":23,""10"":11,""11"":2,""12"":11,""13"":26,""14"":61,""15"":41,""16"":44,""17"":29,""18"":44,""19"":50,""2"":11,""20"":47,""21"":32,""22"":35,""23"":20,""3"":17,""4"":23,""5"":50,""6"":26,""7"":20,""8"":20,""9"":23},""Tuesday"":{""0"":11,""1"":26,""10"":29,""11"":11,""12"":2,""13"":0,""14"":11,""15"":17,""16"":38,""17"":23,""18"":20,""19"":5,""2"":26,""20"":2,""21"":0,""22"":0,""23"":2,""3"":20,""4"":14,""5"":17,""6"":35,""7"":32,""8"":47,""9"":44},""Wednesday"":{""0"":0,""1"":2,""10"":61,""11"":55,""12"":47,""13"":67,""14"":47,""15"":38,""16"":11,""17"":17,""18"":29,""19"":41,""2"":0,""20"":20,""21"":8,""22"":0,""23"":0,""3"":2,""4"":11,""5"":23,""6"":20,""7"":32,""8"":35,""9"":55}}",,024 3824 3524,"3V2V+48 Long Biên, Hanoi",20,3.700000,"{""1"":3,""2"":2,""3"":2,""4"":5,""5"":8}",21.050279,105.893267,573083877683062071,Open 24 hours,,https://search.google.com/local/reviews?placeid=ChIJ4fftB52pNTERN2XNG8AA9Ac&q=ATM+Vietcombank&authuser=0&hl=en&gl=VN,https://lh5.googleusercontent.com/p/AF1QipNc9HWpJ7Dufd4UN1-53eh1WOy5RdDvsECyzwYx=w408-h544-k-no,Asia/Saigon,,0x3135a99d07edf7e1:0x7f400c01bcd6537,"[{""title"":""All"",""image"":""https://lh5.googleusercontent.com/p/AF1QipNc9HWpJ7Dufd4UN1-53eh1WOy5RdDvsECyzwYx=w224-h298-k-no""},{""title"":""Exterior"",""image"":""https://lh5.googleusercontent.com/p/AF1QipNDJTVCGvddlvO-5WRKoBh6H2T5J2p1ZBsiD4z8=w224-h298-k-no""},{""title"":""Inside"",""image"":""https://lh5.googleusercontent.com/p/AF1QipPKKgxzTjH6iaIkUbmW8Utd2x8FfkFZnwtt1TrI=w224-h298-k-no""}]",null,null,"{""link"":"""",""source"":""""}","{""id"":"""",""name"":""ATM Vietcombank (Owner)"",""link"":""""}","{""borough"":""Gia Thụy, Long Biên"",""street"":""7 - 9, Đường Nguyễn Văn Linh, Phường Đức Giang, Quận Long Biên"",""city"":""Hanoi"",""postal_code"":"""",""state"":""Long Biên, Hanoi"",""country"":""VN""}",null,null,
606fb84b-c9db-438e-90fa-a6eea1a39785,https://www.google.com/maps/place/Vietcombank/data=!4m7!3m6!1s0x3135ab0d1153a78d:0x1751f238430ad962!8m2!3d21.0356301!4d105.8190457!16s%2Fg%2F12vr50df6!19sChIJjadTEQ2rNTERYtkKQzjyURc?authuser=0&hl=en&rclk=1,Vietcombank,ATM,"285 P. Đội Cấn, Liễu Giai, Ba Đình, Hà Nội 100000","{""Friday"":[""8 AM–5 PM""],""Monday"":[""8 AM–5 PM""],""Saturday"":[""Closed""],""Sunday"":[""Closed""],""Thursday"":[""8 AM–5 PM""],""Tuesday"":[""8 AM–5 PM""],""Wednesday"":[""8 AM–5 PM""]}",{},,024 3762 3545,"2RP9+7J Ba Đình, Hanoi",6,3.700000,"{""1"":2,""2"":0,""3"":0,""4"":0,""5"":4}",21.035630,105.819046,1680390459442780514,Closes soon ⋅ 5 PM ⋅ Opens 8 AM Thu,,https://search.google.com/local/reviews?placeid=ChIJjadTEQ2rNTERYtkKQzjyURc&q=Vietcombank&authuser=0&hl=en&gl=VN,https://lh5.googleusercontent.com/p/AF1QipMRCLJ6KDA9ri0TS90J8h_H38ja0h-8bN6X8p0n=w426-h240-k-no,Asia/Saigon,,0x3135ab0d1153a78d:0x1751f238430ad962,"[{""title"":""All"",""image"":""https://lh5.googleusercontent.com/p/AF1QipMRCLJ6KDA9ri0TS90J8h_H38ja0h-8bN6X8p0n=w529-h298-k-no""},{""title"":""Exterior"",""image"":""https://lh5.googleusercontent.com/p/AF1QipM3oiZNhibUc-xIk32340zTMiljB9w91oCaV4X1=w224-h298-k-no""},{""title"":""Automated teller machine"",""image"":""https://lh5.googleusercontent.com/p/AF1QipMbSTQVmnSt5K1gW8dtQ4IMA2mKaKb40W-5JufC=w224-h298-k-no""}]",null,null,"{""link"":"""",""source"":""""}","{""id"":"""",""name"":""Vietcombank (Owner)"",""link"":""""}","{""borough"":""Liễu Giai, Ba Đình"",""street"":""285 P. Đội Cấn"",""city"":""Hanoi"",""postal_code"":""100000"",""state"":""Ba Đình, Hanoi"",""country"":""VN""}",null,null,
