link,title,category,latitude,longitude,address
https://www.google.com/maps/place/B%E1%BB%87nh+vi%E1%BB%87n+Da+Li%E1%BB%85u+Trung+%C6%AF%C6%A1ng/data=!4m7!3m6!1s0x3135ad0c51c0619b:0xcb922ff21ced459d!8m2!3d21.0038019!4d105.8386591!16s%2Fg%2F11h24f58sf!19sChIJm2HAUQytNTERnUXtHPIvkss?authuser=0&hl=en&rclk=1,Bệnh viện Da Liễu Trung Ương,Hospital,21.003802,105.838659,"15A Phương Mai, Đống Đa, Hà Nội 100000"
https://www.google.com/maps/place/Thien+Duc+Hospital/data=!4m7!3m6!1s0x3135acd4e9044211:0xd5e8d37c7aa33582!8m2!3d20.9686774!4d105.7867796!16s%2Fg%2F11h1ssyw9!19sChIJEUIE6dSsNTERgjWjenzT6NU?authuser=0&hl=en&rclk=1,Thien Duc Hospital,General hospital,20.968677,105.78678,"207 Đ. Phùng Hưng, P. Phúc La, Hà Đông, Hà Nội"
https://www.google.com/maps/place/Hoe+Nhai+General+Hospital/data=!4m7!3m6!1s0x3135ab4375efec23:0xdae95d1c05c9b03e!8m2!3d21.0409703!4d105.8459806!16s%2Fg%2F11h1kvfw3f!19sChIJI-zvdUOrNTERPrDJBRxd6do?authuser=0&hl=en&rclk=1,Hoe Nhai General Hospital,General hospital,21.04097,105.845981,"34 P. Hoè Nhai, Nguyễn Trung Trực, Ba Đình, Hà Nội"
https://www.google.com/maps/place/Vietnam+Cuba+Friendship+Hospital/data=!4m7!3m6!1s0x3135ab937ba816ed:0x1dc3a2b63153c25a!8m2!3d21.0246337!4d105.8504659!16s%2Fg%2F1tlk8vzs!19sChIJ7Raoe5OrNTERWsJTMbaiwx0?authuser=0&hl=en&rclk=1,Vietnam Cuba Friendship Hospital,General hospital,21.024634,105.850466,"37 P. Hai Bà Trưng, Tràng Tiền, Hoàn Kiếm, Hà Nội"
https://www.google.com/maps/place/Hanoi+Medical+University+Hospital/data=!4m7!3m6!1s0x3135ac7dc5bab827:0xc076d880a1dc5828!8m2!3d21.0023139!4d105.8301675!16s%2Fg%2F1tl1fbvm!19sChIJJ7i6xX2sNTERKFjcoYDYdsA?authuser=0&hl=en&rclk=1,Hanoi Medical University Hospital,University hospital,21.002314,105.830168,"1 P. Tôn Thất Tùng, Kim Liên, Đống Đa, Hà Nội"
https://www.google.com/maps/place/Hanoi+French+Hospital/data=!4m7!3m6!1s0x3135ac79e17be4d1:0xc15d882c798ee9b6!8m2!3d21.0036226!4d105.840007!16s%2Fm%2F02vtq84!19sChIJ0eR74XmsNTERtumOeSyIXcE?authuser=0&hl=en&rclk=1,Hanoi French Hospital,Hospital,21.003623,105.840007,"Số 1 Phương Mai, Đống Đa, Hà Nội 100000"
https://www.google.com/maps/place/Agriculture+General+Hospital/data=!4m7!3m6!1s0x3135adf343acb4ab:0xedcc73458154d625!8m2!3d20.9212701!4d105.853351!16s%2Fg%2F1xcbm2tb!19sChIJq7SsQ_OtNTERJdZUgUVzzO0?authuser=0&hl=en&rclk=1,Agriculture General Hospital,General hospital,20.92127,105.853351,"Km13+500, QL1A, Ngọc Hồi, Thanh Trì, Hà Nội"
https://www.google.com/maps/place/E+Hospital/data=!4m7!3m6!1s0x3135ab2bc3ed7b2f:0x8479b93f543c3f15!8m2!3d21.0503396!4d105.7888586!16s%2Fg%2F11hgj_b3wd!19sChIJL3vtwyurNTERFT88VD-5eYQ?authuser=0&hl=en&rclk=1,E Hospital,General hospital,21.05034,105.788859,"87-89 Đ. Trần Cung, Nghĩa Tân, Cầu Giấy, Hà Nội 100000"
https://www.google.com/maps/place/%C4%90%C3%B4ng+y+%2F+Ph%E1%BB%A5+khoa/data=!4m7!3m6!1s0x3135ab9eb049c011:0xe40caa8f1f7ec589!8m2!3d21.0265673!4d105.8334277!16s%2Fg%2F11kx86kh4c!19sChIJEcBJsJ6rNTERicV-H4-qDOQ?authuser=0&hl=en&rclk=1,Đông y / Phụ khoa,General hospital,21.026567,105.833428,"118 P.Tôn Đức Thắng, Quốc Tử Giám, Đống Đa, Hà Nội"
https://www.google.com/maps/place/Pk+Ng%E1%BB%8Dc+Thi%E1%BB%87n/data=!4m7!3m6!1s0x313513f6fd8604f9:0x8ceb32937a3389f1!8m2!3d21.3528082!4d106.0787373!16s%2Fg%2F11gf5wbf2n!19sChIJ-QSG_fYTNTER8YkzepMy64w?authuser=0&hl=en&rclk=1,Pk Ngọc Thiện,General hospital,21.352808,106.078737,"1 Phố Tân Lập, Ngọc Thiện, Tân Yên, Bắc Giang"
